Slice,Mean
1,16579.971
2,14847.457
3,13650.400
4,12661.058
5,11833.343
6,11206.871
7,10619.828
8,10104.442
9,9611.771
10,9179.800
11,8790.257
12,8416.271
13,8125.471
14,7840.700
15,7510.743
16,7280.114
17,7022.329
18,6808.071
19,6620.714
20,6397.486
21,6239.086
22,6071.372
23,5916.372
24,5763.571
25,5655.971
26,5616.643
27,5609.814
28,5591.986
29,5592.971
30,5577.557
31,5569.814
32,5556.314
33,5559.071
34,5517.514
35,5537.600
36,5536.943
37,5508.686
38,5533.843
39,5513.114
40,5504.500
41,5505.300
42,5505.686
43,5483.086
44,5482.357
45,5492.814
46,5474.429
47,5436.857
48,5453.471
49,5460.543
50,5455.257
51,5445.171
52,5480.429
53,5451.043
54,5447.100
55,5442.457
56,5447.100
57,5475.757
58,5437.600
59,5318.943
60,5224.714
61,5121.543
62,5025.128
63,4932.743
64,4863.157
65,4788.886
66,4698.543
67,4648.529
68,4590.614
69,4529.071
70,4457.571
71,4410.814
72,4367.814
73,4341.329
74,4270.357
75,4241.057
76,4202.000
77,4169.814
78,4126.471
79,4097.971
80,4053.286
81,4050.686
82,4023.214
83,3992.686
84,3963.129
85,3932.914
86,3909.029
87,3886.957
88,3880.829
89,3857.357
90,3845.743
91,3831.514
92,3903.086
93,3930.743
94,3989.529
95,4032.971
96,4100.171
97,4144.400
98,4169.771
99,4223.243
100,4251.857
101,4299.271
102,4346.128
103,4371.743
104,4395.857
105,4452.086
106,4480.700
107,4490.486
108,4563.943
109,4580.529
110,4617.700
111,4645.514
112,4671.900
113,4682.200
114,4731.514
115,4752.514
116,4772.043
117,4784.300
118,4797.714
119,4843.143
120,4867.900
121,4904.957
122,4921.757
123,4931.257
124,4879.571
125,4833.329
126,4738.586
127,4658.529
128,4621.600
129,4550.343
130,4472.829
131,4425.229
132,4383.743
133,4350.300
134,4305.786
135,4249.186
136,4218.343
137,4175.857
138,4133.471
139,4117.571
140,4064.714
141,4054.500
142,4026.900
143,3991.971
144,3955.814
145,3962.700
146,3914.500
147,3900.943
148,3876.671
149,3877.886
150,3858.914
151,3835.671
152,3802.457
153,3782.000
154,3778.486
155,3769.757
156,3761.357
157,3767.072
158,3819.043
159,3855.471
160,3921.414
161,3951.457
162,4012.943
163,4066.443
164,4124.643
165,4150.486
166,4193.300
167,4253.343
168,4288.229
169,4333.986
170,4368.257
171,4406.929
172,4454.614
173,4471.586
174,4519.886
175,4553.214
176,4576.872
177,4631.686
178,4646.471
179,4697.586
180,4721.986
181,4743.014
182,4759.628
183,4809.186
184,4820.128
185,4860.529
186,4871.971
187,4911.271
188,4922.714
189,4940.000
190,4962.314
191,4871.000
192,4804.343
193,4744.657
194,4684.857
195,4591.857
196,4547.600
197,4474.128
198,4415.057
199,4376.400
200,4323.857
201,4285.557
202,4241.114
203,4193.486
204,4168.086
205,4125.800
206,4099.671
207,4092.100
208,4025.157
209,4033.514
210,4001.771
211,3958.229
212,3940.700
213,3920.457
214,3891.886
215,3878.928
216,3863.257
217,3865.486
218,3806.414
219,3797.857
220,3805.414
221,3795.072
222,3771.371
223,3777.271
224,3840.786
225,3915.514
226,3930.743
227,4000.771
228,4052.057
229,4106.471
230,4129.686
231,4190.529
232,4237.400
233,4272.314
234,4310.186
235,4349.814
236,4385.200
237,4448.686
238,4472.671
239,4518.043
240,4545.400
241,4596.557
242,4594.271
243,4648.429
244,4698.829
245,4722.757
246,4742.014
247,4760.814
248,4803.586
249,4823.643
250,4841.971
251,4878.571
252,4906.200
253,4929.314
254,4956.200
255,4997.514
256,4934.986
257,4858.014
258,4776.929
259,4726.900
260,4656.257
261,4597.171
262,4542.700
263,4478.243
264,4423.843
265,4363.600
266,4313.943
267,4270.657
268,4236.686
269,4217.914
270,4160.471
271,4124.857
272,4103.628
273,4054.757
274,4047.614
275,4013.229
276,3972.572
277,3969.057
278,3941.814
