X,Y
0,11412.424
1,11875.757
2,11871.338
3,11867.167
4,11861.378
5,11859.023
6,11854.952
7,11851.532
8,11847.427
9,11845.302
10,11843.516
11,11839.981
12,11838.384
13,11835.661
14,11832.598
15,11830.747
16,11829.483
17,11826.506
18,11825.144
19,11822.495
20,11820.418
21,11819.187
22,11815.632
23,11814.692
24,11813.816
25,11813.413
26,11809.438
27,11808.021
28,11806.090
29,11804.849
30,11802.785
31,11801.099
32,11799.790
33,11798.340
34,11795.750
35,11793.611
36,11792.896
37,11791.554
38,11790.163
39,11787.911
40,11786.153
41,11783.619
42,11782.703
43,11782.338
44,11779.754
45,11779.092
46,11776.300
47,11773.787
48,11773.009
49,11771.208
50,11768.541
51,11766.088
52,11765.688
53,11764.191
54,11761.965
55,11761.256
56,11759.340
57,11756.849
58,11755.480
59,11753.329
60,11751.665
61,11749.921
62,11748.127
63,11745.480
64,11742.809
65,11740.918
66,11741.241
67,11739.516
68,11736.155
69,11735.077
70,11733.180
71,11732.004
72,11729.347
73,11727.169
74,11726.697
75,11723.326
76,11723.183
77,11720.793
78,11719.226
79,11717.414
80,11714.861
81,11713.017
82,11710.752
83,11709.407
84,11707.830
85,11704.774
86,11703.855
87,11701.132
88,11699.915
89,11697.341
90,11696.416
91,11695.522
92,11693.421
93,11691.387
94,11688.475
95,11686.144
96,11684.799
97,11681.484
98,11680.698
99,11678.502
100,11677.771
101,11675.289
102,11672.370
103,11671.102
104,11669.004
105,11666.975
106,11664.814
107,11663.618
108,11661.500
109,11658.964
110,11658.229
111,11655.845
112,11653.422
113,11651.707
114,11650.184
115,11647.474
116,11646.034
117,11643.546
118,11642.240
119,11640.349
120,11636.097
121,11636.490
122,11633.519
123,11631.849
124,11629.729
125,11627.244
126,11625.210
127,11623.945
128,11620.291
129,11619.153
130,11616.745
131,11614.934
132,11613.087
133,11611.377
134,11609.485
135,11607.276
136,11606.352
137,11603.430
138,11601.946
139,11598.354
140,11598.317
141,11597.000
142,11595.268
143,11592.866
144,11591.735
145,11588.468
146,11587.110
147,11585.179
148,11583.976
149,11580.870
150,11579.439
151,11576.862
152,11576.362
153,11574.211
