X,Y
0,11475.570
1,11931.376
2,11927.271
3,11921.132
4,11917.542
5,11913.222
6,11908.619
7,11906.134
8,11902.583
9,11899.323
10,11897.777
11,11893.343
12,11890.925
13,11889.397
14,11887.010
15,11883.939
16,11882.830
17,11880.601
18,11879.147
19,11876.134
20,11873.506
21,11873.225
22,11870.209
23,11868.065
24,11867.240
25,11864.946
26,11862.974
27,11861.272
28,11859.842
29,11856.722
30,11855.097
31,11853.701
32,11851.474
33,11849.335
34,11848.359
35,11845.072
36,11844.799
37,11842.479
38,11842.437
39,11839.611
40,11837.661
41,11836.024
42,11834.455
43,11832.382
44,11831.565
45,11830.281
46,11828.917
47,11826.274
48,11824.951
49,11822.881
50,11821.186
51,11820.377
52,11817.685
53,11816.476
54,11814.349
55,11813.343
56,11810.537
57,11809.011
58,11806.667
59,11806.269
60,11803.132
61,11801.438
62,11798.832
63,11798.382
64,11796.233
65,11793.945
66,11791.328
67,11791.293
68,11789.852
69,11787.518
70,11785.244
71,11784.345
72,11781.544
73,11779.282
74,11778.594
75,11776.698
76,11774.164
77,11772.829
78,11771.009
79,11768.274
80,11768.216
81,11765.736
82,11762.464
83,11762.673
84,11760.773
85,11759.636
86,11756.359
87,11754.711
88,11752.268
89,11750.674
90,11747.994
91,11745.895
92,11745.230
93,11741.887
94,11741.035
95,11738.373
96,11736.683
97,11736.323
98,11732.895
99,11729.620
100,11728.314
101,11725.658
102,11724.823
103,11723.647
104,11722.798
105,11719.435
106,11717.973
107,11715.610
108,11714.041
109,11712.384
110,11708.890
111,11708.137
112,11705.482
113,11703.310
114,11702.017
115,11699.434
116,11696.886
117,11695.187
118,11692.877
119,11690.838
120,11688.488
121,11687.347
122,11685.327
123,11682.499
124,11681.620
125,11678.794
126,11677.529
127,11674.491
128,11672.352
129,11670.411
130,11668.407
131,11666.611
132,11664.804
133,11662.714
134,11660.914
135,11659.413
136,11656.503
137,11654.991
138,11651.432
139,11650.991
140,11647.554
141,11645.396
142,11644.434
143,11642.081
144,11639.155
145,11637.959
146,11634.561
147,11632.264
148,11630.469
149,11629.154
150,11626.555
151,11623.559
152,11623.396
153,11620.939
154,11618.144
155,11616.139
156,11615.370
157,11612.339
158,11612.883
159,11609.121
160,11607.335
161,11604.947
162,11604.514
163,11602.229
164,11599.676
165,11599.002
166,11595.735
167,11593.932
168,11592.427
169,11590.439
170,11586.708
171,11586.488
172,11584.961
173,11582.743
174,11579.573
175,11578.163
176,11575.050
177,11573.908
178,11570.567
179,11568.049
180,11566.076
181,11564.340
182,11561.622
183,11559.652
184,11556.543
185,11555.479
186,11553.983
187,11552.383
188,11549.928
189,11547.296
190,11544.540
191,11542.459
192,11541.049
193,11538.350
194,11535.103
195,11534.442
196,11532.596
197,11529.814
198,11527.188
199,11525.825
200,11523.078
201,11521.130
202,11517.841
203,11516.030
204,11514.163
205,11511.921
206,11510.821
207,11507.562
208,11504.815
209,11503.238
210,11501.416
211,11499.459
212,11495.819
213,11494.427
214,11492.041
215,11489.486
216,11487.269
217,11486.024
218,11483.256
219,11481.148
220,11478.074
221,11476.269
222,11475.399
223,11472.009
224,11468.122
225,11466.635
226,11464.152
227,11461.562
228,11460.660
229,11457.953
230,11455.679
231,11453.666
232,11450.929
233,11448.306
234,11447.075
235,11444.282
236,11441.876
237,11439.934
238,11437.359
239,11434.753
240,11433.019
241,11430.429
242,11428.234
243,11426.189
244,11423.604
245,11421.196
246,11419.010
247,11416.924
248,11413.740
249,11413.419
250,11410.449
251,11409.409
252,11406.054
253,11404.039
254,11401.413
255,11398.777
256,11397.481
257,11394.836
258,11391.872
259,11389.911
260,11387.294
261,11385.701
262,11382.320
263,11380.468
264,11377.400
265,11374.223
266,11372.562
267,11370.501
268,11367.993
269,11365.669
270,11363.309
271,11360.290
272,11358.492
273,11356.802
274,11353.835
275,11350.694
276,11348.430
277,11346.758
278,11344.307
279,11342.191
280,11341.063
281,11336.635
282,11335.481
283,11332.676
284,11329.656
285,11327.233
286,11326.047
287,11322.847
288,11319.109
289,11316.771
290,11313.976
291,11312.622
292,11309.836
293,11307.103
294,11303.883
295,11301.683
296,11300.042
297,11296.627
298,11293.784
299,11291.467
300,11288.681
301,11285.822
302,11283.230
303,11280.074
304,11276.748
305,11273.807
306,11273.016
307,11269.035
308,11265.537
309,11263.219
310,11260.859
311,11257.302
312,11254.676
313,11251.610
314,11247.927
315,11245.777
316,11243.573
317,11239.528
318,11238.777
319,11233.387
320,11231.430
321,11227.376
322,11224.985
323,11221.827
324,11218.192
325,11215.955
326,11211.415
327,11208.864
328,11205.509
329,11202.293
330,11198.581
331,11195.790
332,11192.732
333,11188.284
334,11184.003
335,11181.068
336,11177.189
337,11174.090
338,11171.220
339,11168.189
340,11163.935
341,11160.957
342,11157.170
343,11154.504
344,11151.255
345,11146.930
346,11143.294
347,11139.966
348,11136.838
349,11133.410
350,11129.733
351,11125.621
352,11122.654
353,11118.370
354,11116.681
355,11112.279
356,11107.824
357,11105.208
358,11102.199
359,11098.434
360,11093.498
361,11092.094
362,11087.295
363,11084.615
364,11081.478
365,11078.242
366,11073.586
367,11071.107
368,11067.272
369,11064.197
370,11060.266
371,11055.696
372,11052.309
373,11049.526
374,11045.785
375,11041.901
376,11038.337
377,11034.411
378,11030.651
379,11027.281
380,11023.437
381,11020.300
382,11016.869
383,11014.428
384,11010.501
385,11007.102
386,11002.509
387,11000.392
388,10995.726
389,10993.340
390,10989.202
391,10985.402
392,10981.387
393,10978.725
394,10974.412
395,10970.731
396,10968.232
397,10964.665
398,10959.928
399,10956.921
400,10953.200
401,10950.206
402,10946.354
403,10942.648
404,10939.033
405,10935.549
406,10933.033
407,10928.932
408,10925.407
409,10921.486
410,10917.311
411,10913.554
412,10910.380
413,10907.618
414,10902.954
415,10898.370
416,10896.001
417,10891.806
418,10888.557
419,10884.064
420,10882.469
421,10878.105
422,10874.490
423,10869.434
424,10868.025
425,10864.134
426,10860.979
427,10855.774
428,10853.462
429,10850.264
430,10846.301
431,10842.949
432,10839.491
433,10836.343
434,10832.070
435,10827.835
436,10826.183
437,10821.990
438,10818.620
439,10814.546
440,10810.497
441,10805.879
442,10804.146
443,10800.787
444,10796.762
445,10794.815
446,10789.729
447,10786.901
448,10782.612
449,10780.208
450,10776.024
451,10772.071
452,10768.979
453,10764.734
454,10760.624
455,10757.268
456,10753.503
457,10750.558
458,10747.884
459,10743.562
460,10741.100
461,10738.005
462,10733.667
463,10730.321
464,10726.045
465,10722.614
466,10718.882
467,10715.682
468,10711.987
469,10709.594
470,10706.229
471,10702.903
472,10698.743
473,10695.374
474,10692.248
475,10688.728
476,10684.753
477,10682.562
478,10678.358
479,10675.659
480,10671.382
481,10667.648
482,10663.856
483,10659.879
484,10657.252
485,10653.954
486,10650.406
487,10647.965
488,10644.820
489,10641.447
490,10638.411
491,10635.748
492,10631.759
493,10629.004
494,10625.375
495,10621.151
496,10617.049
497,10614.906
498,10612.334
499,10609.238
500,10604.042
501,10601.468
502,10597.998
503,10595.157
504,10590.597
505,10587.818
506,10585.797
507,10581.346
508,10578.148
509,10574.880
510,10571.320
511,10568.003
512,10563.896
513,10561.031
514,10557.404
515,10554.505
516,10550.628
517,10547.071
518,10544.211
519,10540.562
520,10537.557
521,10534.203
522,10529.517
523,10526.768
524,10524.494
525,10520.704
526,10517.092
527,10513.851
528,10510.488
529,10507.963
530,10504.108
531,10500.771
532,10497.038
533,10494.025
534,10491.753
535,10486.412
536,10483.292
537,10480.974
538,10477.215
539,10473.636
540,10470.856
541,10467.365
542,10464.696
543,10462.238
544,10458.041
545,10454.954
546,10452.369
547,10447.998
548,10443.883
549,10441.131
550,10437.645
551,10436.025
552,10431.123
553,10427.834
554,10424.219
555,10421.330
556,10417.879
557,10415.272
558,10412.385
559,10410.298
560,10405.113
561,10402.165
562,10399.493
563,10395.703
564,10392.217
565,10388.948
566,10386.408
567,10383.377
568,10380.885
569,10376.580
570,10373.360
571,10369.575
572,10366.300
573,10364.212
574,10361.794
575,10356.097
576,10353.953
577,10351.305
578,10348.597
579,10344.084
580,10342.152
581,10338.001
582,10334.171
583,10331.851
584,10328.960
585,10324.979
586,10322.505
587,10319.206
588,10315.519
589,10312.952
590,10308.133
591,10306.209
592,10302.335
593,10299.933
594,10296.882
595,10292.852
596,10290.894
597,10287.200
598,10284.437
599,10280.710
600,10277.609
601,10274.967
602,10272.021
603,10268.265
604,10264.982
605,10262.318
606,10259.211
607,10256.264
608,10252.331
609,10249.479
610,10245.062
611,10242.639
612,10239.873
613,10236.988
614,10233.948
615,10229.874
616,10226.965
617,10224.353
618,10221.215
619,10217.906
620,10215.440
621,10211.666
622,10210.994
623,10205.494
624,10202.728
625,10201.275
626,10196.648
627,10194.245
628,10191.447
629,10186.963
630,10183.817
631,10180.716
632,10178.046
633,10174.814
634,10173.014
635,10170.549
636,10164.703
637,10162.053
638,10160.415
639,10157.421
640,10153.279
641,10151.239
642,10148.188
643,10144.436
644,10142.422
645,10139.734
646,10136.635
647,10133.730
648,10131.051
649,10127.780
650,10123.656
651,10121.270
652,10118.239
653,10115.184
654,10111.969
655,10109.639
656,10106.211
657,10102.866
658,10100.074
659,10097.110
660,10094.229
661,10089.663
662,10088.352
663,10084.889
664,10081.541
665,10079.502
666,10075.700
667,10073.136
668,10069.863
669,10067.021
670,10063.490
671,10061.340
672,10057.474
673,10055.004
674,10052.160
675,10048.921
676,10045.124
677,10042.128
678,10039.289
679,10036.366
680,10033.995
681,10030.799
682,10027.879
683,10026.021
684,10022.234
685,10018.536
686,10017.035
687,10014.347
688,10009.932
689,10006.507
690,10004.651
691,10001.951
692,9999.251
693,9996.483
694,9993.128
695,9989.989
696,9988.444
697,9985.398
698,9981.733
699,9979.508
